Observation,Degrees,Radians,SIN,COS,SIN2,COS2
0,0,0,0,1,0.073527031,1.055074735
1,30,0.523598776,0.5,0.866025404,0.507838782,0.882984485
2,60,1.047197551,0.866025404,0.5,0.894272373,0.539692423
3,90,1.570796327,1,6.12574E-17,1.09107224,0.021881489
4,120,2.094395102,0.866025404,-0.5,0.96341565,-0.417546953
5,150,2.617993878,0.5,-0.866025404,0.513761303,-0.797967449
6,180,3.141592654,1.22515E-16,-1,0.083882328,-0.98548816
7,210,3.665191429,-0.5,-0.866025404,-0.497426998,-0.810710334
8,240,4.188790205,-0.866025404,-0.5,-0.809080363,-0.405999366
9,270,4.71238898,-1,-1.83772E-16,-0.906891887,0.010138536
10,300,5.235987756,-0.866025404,0.5,-0.773332379,0.54559935
11,330,5.759586532,-0.5,0.866025404,-0.446607593,0.919200078
12,360,6.283185307,-2.4503E-16,1,0.059472315,1.001977138
